dataset	domain	variable	rows	missing_count	non_missing_count	missing_percent	completeness_percent
demographics	patient_identity_and_context	patient_id	5	0	5	0.0	100.0
demographics	patient_identity_and_context	birth_date	5	0	5	0.0	100.0
demographics	patient_identity_and_context	sex	5	0	5	0.0	100.0
demographics	patient_identity_and_context	race_ethnicity	5	0	5	0.0	100.0
demographics	patient_identity_and_context	residence_region	5	0	5	0.0	100.0
diagnoses	coded_clinical_events	patient_id	4	0	4	0.0	100.0
diagnoses	coded_clinical_events	encounter_id	4	0	4	0.0	100.0
diagnoses	coded_clinical_events	code_system	4	0	4	0.0	100.0
diagnoses	coded_clinical_events	code	4	0	4	0.0	100.0
diagnoses	coded_clinical_events	code_description	4	0	4	0.0	100.0
diagnoses	coded_clinical_events	event_date	4	0	4	0.0	100.0
diagnoses	coded_clinical_events	diagnosis_position	4	0	4	0.0	100.0
procedures	coded_clinical_events	patient_id	3	0	3	0.0	100.0
procedures	coded_clinical_events	encounter_id	3	0	3	0.0	100.0
procedures	coded_clinical_events	code_system	3	0	3	0.0	100.0
procedures	coded_clinical_events	code	3	0	3	0.0	100.0
procedures	coded_clinical_events	code_description	3	0	3	0.0	100.0
procedures	coded_clinical_events	event_date	3	0	3	0.0	100.0
procedures	coded_clinical_events	procedure_location	3	0	3	0.0	100.0
medications	coded_clinical_events	patient_id	3	0	3	0.0	100.0
medications	coded_clinical_events	encounter_id	3	0	3	0.0	100.0
medications	coded_clinical_events	code_system	3	0	3	0.0	100.0
medications	coded_clinical_events	code	3	0	3	0.0	100.0
medications	coded_clinical_events	code_description	3	0	3	0.0	100.0
medications	coded_clinical_events	event_date	3	0	3	0.0	100.0
medications	coded_clinical_events	medication_source	3	0	3	0.0	100.0
laboratory_results	clinical_results	patient_id	4	0	4	0.0	100.0
laboratory_results	clinical_results	encounter_id	4	0	4	0.0	100.0
laboratory_results	clinical_results	specimen_datetime	4	0	4	0.0	100.0
laboratory_results	clinical_results	result_datetime	4	0	4	0.0	100.0
laboratory_results	clinical_results	result_domain	4	0	4	0.0	100.0
laboratory_results	clinical_results	result_name	4	0	4	0.0	100.0
laboratory_results	clinical_results	result_value	4	0	4	0.0	100.0
laboratory_results	clinical_results	result_unit	4	0	4	0.0	100.0
laboratory_results	clinical_results	reference_low	4	0	4	0.0	100.0
laboratory_results	clinical_results	reference_high	4	0	4	0.0	100.0
laboratory_results	clinical_results	abnormal_flag	4	0	4	0.0	100.0
laboratory_results	clinical_results	source_system	4	0	4	0.0	100.0
vital_signs	clinical_results	patient_id	4	0	4	0.0	100.0
vital_signs	clinical_results	encounter_id	4	0	4	0.0	100.0
vital_signs	clinical_results	measurement_datetime	4	0	4	0.0	100.0
vital_signs	clinical_results	result_domain	4	0	4	0.0	100.0
vital_signs	clinical_results	result_name	4	0	4	0.0	100.0
vital_signs	clinical_results	result_value	4	0	4	0.0	100.0
vital_signs	clinical_results	result_unit	4	0	4	0.0	100.0
vital_signs	clinical_results	measurement_position	4	0	4	0.0	100.0
vital_signs	clinical_results	care_setting	4	0	4	0.0	100.0
vital_signs	clinical_results	source_system	4	0	4	0.0	100.0
outcomes	outcomes_and_follow_up	patient_id	6	0	6	0.0	100.0
outcomes	outcomes_and_follow_up	outcome_name	6	0	6	0.0	100.0
outcomes	outcomes_and_follow_up	outcome_status	6	0	6	0.0	100.0
outcomes	outcomes_and_follow_up	outcome_date	6	4	2	66.67	33.33
outcomes	outcomes_and_follow_up	index_date	6	0	6	0.0	100.0
outcomes	outcomes_and_follow_up	follow_up_end_date	6	0	6	0.0	100.0
outcomes	outcomes_and_follow_up	follow_up_days	6	0	6	0.0	100.0
outcomes	outcomes_and_follow_up	outcome_source	6	0	6	0.0	100.0
outcomes	outcomes_and_follow_up	censoring_reason	6	0	6	0.0	100.0
